Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
OG0004991_1 	10	8	1142981	constrained	0.001198612758839113	0.2486788526602593
OG0003490_1 	10	8	427482	accelerated	0.0012725682017020734	0.25688680806791314
OG0006916_1 	6	9	427482	accelerated	0.001356788621689864	0.2666803740895156
OG0007532_1 	4	7	427482	accelerated	0.001384873068897452	0.26522094747679664
OG0002459_1 	10	9	2945157	constrained	0.0013873581319355174	0.2590544471856595
OG0001314_1 	7	9	427482	accelerated	0.0014082530176849906	0.25654248266071206
OG0006997_1 	5	9	427482	accelerated	0.0014316928129955997	0.25460270524438416
OG0001142_2 	10	8	1142981	constrained	0.0015223256937080705	0.2644244327047809
OG0001251_2 	4	8	427482	accelerated	0.001614125705302727	0.27399783847513787
OG0003186_1 	10	8	427482	accelerated	0.0016375035089361	0.27178919351652736
OG0003343_1 	9	9	427482	accelerated	0.0016749321605689094	0.27195800668019965
OG0003870_1 	10	9	2945157	accelerated	0.00174592244600269	0.2774530797700871
OG0006701_1 	10	8	1142981	constrained	0.0017497996479403108	0.27227611605137875
OG0006309_1 	10	8	712130	accelerated	0.0018901255683717588	0.2881091402075238
OG0005019_1 	10	8	1142981	constrained	0.0019212800134384613	0.28700080840743736
OG0007002_1 	10	8	427482	accelerated	0.0019416022195086757	0.2843495485786333
OG0005304_1 	10	8	712130	accelerated	0.002019316914798286	0.29004380839669996
OG0001281_3 	10	5	267920	accelerated	0.0021202415880907655	0.2987940456877345
OG0006388_1 	6	7	267920	constrained	0.0021722415890954964	0.30045319312878266
OG0000695_1 	10	8	712130	accelerated	0.002356337818519849	0.3199906757549955
OG0007479_1 	7	8	267920	accelerated	0.0023738783797906393	0.3166160289045766
OG0007628_1 	7	8	267920	constrained	0.0024111675126903555	0.3159475465313029
OG0004718_1 	10	9	2945157	accelerated	0.0024868020214943165	0.3202400741127768
OG0001980_1 	9	7	267920	constrained	0.002493281576590027	0.3156325439923883
OG0001141_1 	9	7	267920	constrained	0.0025006531556749896	0.31128964032894163
OG0006708_1 	10	8	1142981	constrained	0.0025249608919778684	0.3091628344620114
OG0006216_1 	10	8	267920	constrained	0.0025306061510898775	0.3048564087498435
OG0006191_1 	8	9	1142981	accelerated	0.0026142189714605246	0.3099301825053755
OG0001881_1 	10	9	2945157	accelerated	0.0026382375350916254	0.30789056483748983
OG0002159_1 	9	9	267920	constrained	0.002709764108689161	0.3113727404276822
OG0001931_1 	9	9	267920	accelerated	0.002732158853389066	0.3091893102418627
OG0008668_1 	3	8	267920	constrained	0.0028067660978486437	0.312891581863157
OG0002379_1 	10	9	2945157	accelerated	0.002812082788369197	0.3088742109754343
OG0004289_1 	10	9	2945157	accelerated	0.0028385670261732443	0.3072645959201154
OG0010182_1 	3	5	267920	accelerated	0.0028666557176344476	0.30587216507159554
OG0003140_1 	10	8	712130	accelerated	0.0029180393247224545	0.3069695171317185
OG0004256_1 	10	9	2945157	constrained	0.0029818353192994896	0.30932399999788734
OG0002448_1 	7	8	267920	constrained	0.002985965959988056	0.30550931171439444
OG0005345_1 	10	8	427482	accelerated	0.003013006456442424	0.30411007058335765
OG0002198_1 	10	9	2945157	constrained	0.0030714737301734433	0.30587783054220596
OG0004336_1 	10	9	2945157	constrained	0.0031156138567401633	0.3061910512630563
OG0001921_1 	10	9	2945157	constrained	0.0031190092510914496	0.3025438973558706
OG0006151_1 	9	8	267920	accelerated	0.003142729172887382	0.30093646400379304
OG0002222_1 	9	8	267920	constrained	0.0031724941028933146	0.2999412462596224
OG0002333_1 	10	9	2945157	accelerated	0.003288799068841386	0.3070505030647039
OG0002999_1 	10	9	2945157	constrained	0.0032969279150988433	0.30400931602312664
OG0007524_1 	10	4	267920	accelerated	0.003299492385786751	0.30053547109074685
OG0002951_1 	10	8	712130	accelerated	0.0033421239619053633	0.3007508900177248
OG0001494_2 	10	8	1142981	constrained	0.0033473667265098146	0.29763669143216437
OG0002848_1 	9	9	267920	accelerated	0.003389071364586438	0.29779969437760123
OG0001617_1 	10	9	2945157	constrained	0.003408975928691286	0.2960655954813397
OG0007411_1 	10	5	267920	accelerated	0.0034191862635312154	0.2935391057737316
OG0001927_1 	9	9	427482	constrained	0.003480832031140347	0.2954356186430369
OG0003507_1 	10	9	2945157	accelerated	0.003499993888252839	0.2937242061950613
OG0001970_1 	6	6	267920	accelerated	0.0035458875169829263	0.29426926515939417
OG0006920_1 	9	9	427482	constrained	0.003555705269461638	0.2918413478858129
OG0006883_1 	6	9	267920	constrained	0.003575667545031763	0.29028979232437213
OG0007847_1 	10	4	267920	accelerated	0.0035757476223891027	0.28717482786692694
OG0002325_1 	9	8	267920	accelerated	0.0036354678332014556	0.28886499198065607
OG0003235_1 	9	7	712130	accelerated	0.0037071987058506783	0.29146386456840756
OG0000872_1 	10	6	267920	accelerated	0.003725131574036089	0.28982299715078697
OG0008622_1 	9	3	267920	accelerated	0.0037549082548261614	0.28912793562161443
OG0004388_1 	10	9	2945157	accelerated	0.003774343428581517	0.28765888844974846
OG0003901_1 	9	8	267920	constrained	0.0037772469393848912	0.2849722968713712
OG0003582_1 	10	9	2945157	accelerated	0.0037933577531586993	0.2833258905834233
OG0004610_1 	10	8	427482	accelerated	0.003864508281089196	0.28578230050945747
OG0004888_1 	10	9	2945157	constrained	0.003897233636406233	0.2853768434344917
OG0006260_1 	7	9	177756	accelerated	0.003915479646256714	0.2839292959018582
OG0008077_1 	3	8	177756	accelerated	0.0039830327306277225	0.28605068716402365
OG0002616_1 	10	9	2945157	accelerated	0.0040778935387967286	0.29007416039307393
OG0002277_1 	10	7	177756	constrained	0.004129162916291629	0.29095016813002056
OG0005873_1 	10	8	1142981	constrained	0.004208268153296448	0.2937528489436558
OG0002001_1 	10	8	1142981	constrained	0.004250263344847015	0.2939371937283552
OG0005497_1 	10	8	427482	accelerated	0.004285580611958495	0.29366056505245874
OG0003556_1 	10	6	712130	accelerated	0.0042885909998567895	0.291195328890276
OG0001920_1 	10	9	2945157	accelerated	0.0042904465242493695	0.2886968026091761
OG0006350_1 	10	7	177756	accelerated	0.004320529264834949	0.28812529534868064
OG0005031_1 	9	5	177756	accelerated	0.004410838059231259	0.29154468552564844
OG0002889_1 	10	8	1142981	constrained	0.004435742107528688	0.2906189280801032
OG0005083_1 	10	9	2945157	accelerated	0.0044534264491971065	0.289240366513506
OG0004508_1 	10	9	2945157	constrained	0.004531493301226484	0.29177347816259147
OG0005464_1 	10	9	2945157	accelerated	0.0045756613929078815	0.2920992730224698
OG0002506_1 	10	7	177756	constrained	0.00462431647876865	0.29270355745697496
OG0001709_1 	9	8	177756	constrained	0.004714327505119377	0.2958933792919044
OG0005671_1 	10	8	267920	constrained	0.004747685876381009	0.29550388175574793
OG0005931_1 	9	8	177756	constrained	0.00475927946984102	0.2937773418201866
OG0005652_1 	10	7	177756	accelerated	0.004961913655951444	0.3037748614450929
OG0003599_1 	10	9	2945157	accelerated	0.005060526669627419	0.3072932820768064
OG0005600_1 	10	8	427482	accelerated	0.005127725273696981	0.30886274249389317
OG0000360_4 	10	9	2945157	constrained	0.005144701521068762	0.30740620528690066
OG0001919_1 	10	8	267920	accelerated	0.005195580770379182	0.3079824823330326
OG0006501_1 	9	8	177756	constrained	0.005198078286209341	0.3057043048795084
OG0005195_1 	10	9	2945157	accelerated	0.0052859822324718975	0.30844532261197344
OG0006392_1 	10	8	712130	accelerated	0.005341781323986661	0.30928499774307266
OG0006155_1 	9	9	177756	accelerated	0.005389410202749856	0.30964234464875906
OG0005754_1 	10	7	177756	accelerated	0.005400722346613818	0.30792362753327174
OG0003005_1 	10	9	2945157	constrained	0.005495106218121491	0.31093142684204106
OG0007646_1 	10	4	177756	constrained	0.005501923985688247	0.3089764680383873
OG0000326_2 	10	9	2945157	accelerated	0.005541317448223282	0.30886641806552007
OG0000018_9 	9	7	177756	accelerated	0.0055582434150567295	0.30751496345969415
OG0002880_1 	10	8	1142981	constrained	0.005562613080802248	0.30549380220964695
OG0005394_1 	10	8	712130	accelerated	0.005653525659929048	0.3082203149927742
OG0004570_1 	10	8	427482	accelerated	0.005731262281276295	0.3101941882525554
OG0004216_1 	10	9	2945157	accelerated	0.005750475018572954	0.30899494901957836
OG0002304_1 	10	9	2945157	accelerated	0.0058896870377991295	0.31421480346658354
OG0003703_1 	10	8	427482	accelerated	0.0058903340507158175	0.3120206030127407
OG0002997_1 	9	9	267920	accelerated	0.005957002090176133	0.3133299197994756
OG0002126_1 	6	7	177756	accelerated	0.005963431786216611	0.31147462944931376
OG0003992_1 	9	7	177756	accelerated	0.006008236008911094	0.31163551910109
OG0002479_1 	10	7	177756	constrained	0.006019419660437224	0.31006238237107325
OG0002177_1 	9	9	177756	accelerated	0.006030738765498755	0.30851772492815205
OG0006940_1 	7	9	177756	accelerated	0.006165755305024834	0.313279090974357
OG0006944_1 	7	8	177756	constrained	0.006165755305024866	0.31116234035966706
OG0005396_1 	9	7	177756	accelerated	0.006177076183939589	0.3096414900526496
OG0005664_1 	9	8	177756	accelerated	0.0061995094399064365	0.3086942400444078
OG0000559_2 	10	9	2945157	constrained	0.00623530218670187	0.30842034458593554
OG0004514_1 	10	9	2945157	accelerated	0.006239414793416165	0.3065933492896404
OG0005837_1 	9	9	427482	accelerated	0.006255234138513477	0.30536172405592915
OG0000888_1 	4	8	177756	constrained	0.006278269087963275	0.30449605076621883
OG0006559_1 	10	7	177756	constrained	0.006312023222844798	0.30415807388017935
OG0004635_1 	9	5	177756	accelerated	0.006334597252382501	0.303289146654134
OG0005014_1 	10	8	1142981	constrained	0.006369270718502731	0.3030068980668592
OG0002699_1 	10	9	2945157	accelerated	0.00641054371461125	0.30304019623057865
OG0006575_1 	10	8	1142981	constrained	0.0064515113019559265	0.30305872902081016
OG0005986_1 	10	8	1142981	constrained	0.006505755091042076	0.3036967798437079
OG0000464_2 	9	8	177756	accelerated	0.006525799410427746	0.30274034656201765
OG0005904_1 	10	8	1142981	constrained	0.0065477502825926435	0.3018836225968176
OG0003416_1 	10	7	177756	constrained	0.006559405940594059	0.3005656623944603
OG0005668_1 	10	9	2945157	accelerated	0.006661804432239071	0.3033964469780099
OG0006513_1 	10	8	1142981	constrained	0.006731479245626375	0.30471162718535394
OG0007278_1 	6	9	177756	accelerated	0.006807160457711237	0.3062812136062965
OG0004722_1 	10	9	2945157	accelerated	0.0068281797722898885	0.30538727376786334
OG0002849_1 	9	7	177756	constrained	0.006829279269143358	0.3036183741739985
OG0001616_1 	10	5	427482	accelerated	0.006877675626359769	0.3039607056407167
OG0004391_1 	10	7	177756	constrained	0.0069756190861939	0.3064758762046014
OG0009323_1 	3	4	177756	constrained	0.007008898939102456	0.3061372291003289
OG0001209_2 	3	9	177756	accelerated	0.0070210180476169	0.3048836267305269
OG0007155_1 	8	8	177756	constrained	0.007032111433650622	0.3036002329360491
OG0004389_1 	5	9	177756	accelerated	0.007088448079930698	0.304273670741393
OG0006535_1 	9	8	177756	constrained	0.007121962196219622	0.30396534653465346
OG0006693_1 	10	8	1142981	constrained	0.007132183365004707	0.30267203155238726
OG0001720_1 	10	7	177756	accelerated	0.007200882108058249	0.3038609517801529
OG0006955_1 	8	9	177756	constrained	0.007212133486352078	0.30262598319979594
OG0001174_2 	5	6	177756	accelerated	0.007246050677348181	0.3023505726766121
OG0007107_1 	9	7	177756	constrained	0.007290893134408965	0.3025315601161142
OG0005062_1 	10	8	177756	accelerated	0.007335898647584327	0.30271727623650463
OG0004799_1 	10	8	712130	constrained	0.007428335519239248	0.3048474615010876
OG0002039_1 	10	9	2945157	accelerated	0.007706913200966503	0.31455155572687876
OG0003813_1 	10	9	2945157	accelerated	0.0077401882689766	0.31419275098362076
OG0003846_1 	10	9	2945157	accelerated	0.0077992684917701505	0.314879656027196
OG0002113_1 	10	7	177756	accelerated	0.007808456535925656	0.31355570896144475
OG0000320_1 	7	6	108827	accelerated	0.007866779399331003	0.31420842424386775
OG0007803_1 	10	5	108827	constrained	0.007884000441062963	0.3132212728420174
OG0002043_2 	10	8	427482	accelerated	0.007916159820342439	0.3128349084557549
OG0000136_2 	8	3	108827	accelerated	0.007939279216363726	0.3120972445632667
OG0005139_1 	10	9	2945157	accelerated	0.007981262741295181	0.3121049812289723
OG0005884_1 	10	8	1142981	constrained	0.008066576377004833	0.313798223749214
OG0001120_1 	4	5	108827	constrained	0.008067776675120373	0.31221877713199003
OG0005220_1 	10	9	2945157	constrained	0.008114992499573878	0.31242721123359435
OG0000417_2 	4	6	108827	accelerated	0.008123805322746702	0.31116257413125703
OG0007106_1 	9	6	108827	constrained	0.00815966479214908	0.31094151190082386
OG0005387_1 	10	8	712130	constrained	0.008265251959592101	0.31336632937154013
OG0003580_1 	9	8	267920	accelerated	0.008308574329267349	0.31341788719847385
OG0004917_1 	10	8	1142981	constrained	0.00844103350166406	0.3168144684619541
OG0002117_1 	10	9	2945157	constrained	0.008476262458550723	0.3165460215145768
OG0001876_1 	10	9	2945157	accelerated	0.008479030595406445	0.3150740274482126
OG0008032_1 	4	7	108827	accelerated	0.008565704097200477	0.31671902921777406
OG0001242_1 	10	9	2945157	accelerated	0.008584288463601819	0.3158426134711428
OG0005109_1 	8	9	108827	accelerated	0.008711153584621267	0.31893924570360904
OG0001160_1 	10	8	427482	constrained	0.008828400595109993	0.32165523924330014
OG0005089_1 	9	9	177756	accelerated	0.008866086095546732	0.32146017984290554
OG0002018_1 	10	9	2945157	constrained	0.008962482929654899	0.3233854347903017
OG0001801_1 	9	9	108827	accelerated	0.008968445040707151	0.32204478850500823
OG0005141_1 	10	9	2945157	constrained	0.009043972394085767	0.32320301345180186
OG0001043_2 	5	9	108827	accelerated	0.009097090768750093	0.32355319500854496
OG0001810_1 	10	9	2945157	constrained	0.009157378565418723	0.3241538412564571
OG0003645_1 	10	7	177756	accelerated	0.009226130200949645	0.32504701165515515
OG0002527_1 	7	6	108827	accelerated	0.00933600426368697	0.3273737833121032
OG0005511_1 	9	9	108827	accelerated	0.009336175843563943	0.32584998773635093
OG0000804_2 	10	9	2945157	constrained	0.009382153671473867	0.3259316547545968
OG0002806_1 	10	9	2945157	constrained	0.00947926194992065	0.3277805902960988
OG0000060_3 	9	9	267920	constrained	0.00954016124216184	0.32836619501247366
OG0005655_1 	10	7	108827	accelerated	0.009574917758623847	0.32805073733560325
OG0006699_1 	10	8	1142981	constrained	0.009776130633042517	0.3334151584392446
OG0005774_1 	10	9	2945157	accelerated	0.00981478689695725	0.3332120151516986
OG0003455_1 	8	8	108827	accelerated	0.009850587175858738	0.3329141883099046
OG0005937_1 	10	7	177756	constrained	0.009923492349234923	0.33386740701097134
OG0005161_1 	10	8	427482	accelerated	0.009993449985964298	0.3347133540142033
OG0006474_1 	9	7	108827	constrained	0.010034182379534679	0.33457726871760946
OG0006913_1 	7	8	108827	accelerated	0.010089686098654682	0.33493273542600804
OG0004245_1 	10	9	2945157	constrained	0.010118275166832702	0.33439556292510375
OG0006002_1 	9	8	177756	constrained	0.010159880286681893	0.33429139145915004
OG0001249_2 	8	7	108827	constrained	0.01021795861359209	0.3347277758110496
OG0004057_1 	8	7	108827	constrained	0.010236336236997831	0.3338654818957939
OG0000498_2 	10	9	2945157	accelerated	0.01028471234722328	0.33398485444091597
OG0002622_1 	10	8	712130	accelerated	0.010366201296968747	0.3351738419353228
OG0004952_1 	8	6	108827	accelerated	0.010420303971477418	0.33547090673691743
OG0006352_1 	9	8	108827	accelerated	0.010420495478938419	0.33403725636133497
OG0005270_1 	10	9	2945157	accelerated	0.01056788996682001	0.3373144024024729
OG0006516_1 	10	8	1142981	constrained	0.010572289472855358	0.3360188513734326
OG0007351_1 	10	5	108827	constrained	0.010603888705112655	0.33559510482409494
OG0002418_1 	8	9	108827	accelerated	0.01076948523330823	0.3393978278800809
OG0004704_1 	10	9	2945157	accelerated	0.010833411427880746	0.33997794098672807
OG0001425_2 	9	8	108827	accelerated	0.011100288533990033	0.3468956278676634
OG0000082_2 	3	8	108827	accelerated	0.011101308631083717	0.3454819756898512
OG0003387_1 	10	8	1142981	constrained	0.011118226963012736	0.34457276840971834
OG0000263_2 	4	9	108827	constrained	0.011228727900907854	0.3465593747598379
OG0007695_1 	7	7	108827	constrained	0.011283860771125078	0.3468278028787375
OG0004936_1 	10	8	1142981	constrained	0.011349200516540855	0.34740646991001495
OG0006818_1 	8	9	108827	accelerated	0.011412713873522828	0.3479247343728245
OG0006102_1 	10	7	177756	accelerated	0.011420148968248611	0.3467361489587353
OG0001495_1 	5	8	108827	constrained	0.01144883857688915	0.3461999001246359
OG0003240_1 	10	9	2945157	constrained	0.01146353040881227	0.34524640573959214
OG0000406_2 	5	7	108827	accelerated	0.01154220809057327	0.34621988846783835
OG0006509_1 	4	8	177756	constrained	0.01165642791241927	0.3482474403114381
OG0001337_1 	10	7	177756	accelerated	0.011780193073651524	0.3505428767613674
OG0006598_1 	9	7	108827	constrained	0.011853567096703054	0.3513265581161711
OG0005474_1 	10	9	2945157	constrained	0.01193413206590053	0.35231633359767217
OG0005241_1 	10	5	108827	accelerated	0.011982650885834056	0.352355982150766
OG0007410_1 	5	8	108827	constrained	0.012037343330760467	0.35257614642137225
OG0008089_1 	5	6	108827	accelerated	0.01211107639718445	0.35335011566629165
OG0002772_1 	9	9	267920	accelerated	0.012152881457151432	0.353190161881183
OG0006315_1 	10	8	712130	accelerated	0.012183305669534183	0.3527019769215148
OG0004005_1 	9	8	108827	constrained	0.012386518175469548	0.3572004025196218
OG0004999_1 	10	8	1142981	constrained	0.012490069886997938	0.35880127686918306
OG0001390_1 	7	6	108827	accelerated	0.012515391542462284	0.35815118555804903
OG0005134_1 	10	9	2945157	accelerated	0.012548775137955714	0.3577358836083635
OG0000231_3 	10	8	1142981	constrained	0.01255481247397173	0.3565471268748854
OG0005538_1 	10	9	2945157	accelerated	0.01260038544752251	0.35648590495282434
OG0007342_1 	3	8	108827	constrained	0.012606354631824614	0.35530891601923786
OG0004932_1 	10	8	1142981	constrained	0.01261080606270582	0.35409815970808184
OG0001712_1 	10	9	2945157	accelerated	0.012612608941893533	0.35282238272285693
OG0002833_1 	10	8	427482	accelerated	0.01263684850753255	0.3521814235177635
OG0007203_1 	10	7	427482	accelerated	0.012637025877597186	0.35087712371662966
OG0004464_1 	10	9	2945157	accelerated	0.012728053055398258	0.3520956602621096
OG0002743_1 	8	8	108827	constrained	0.012772448266990113	0.3520199856315467
OG0004123_1 	10	5	108827	constrained	0.012790825890395855	0.35123043593884795
OG0007101_1 	10	7	108827	constrained	0.012790825890395855	0.3499438775654456
OG0007607_1 	7	7	108827	constrained	0.012790825890395855	0.34866671012907535
OG0002402_1 	9	9	427482	constrained	0.012814514695286841	0.3480422191239906
OG0007559_1 	8	8	108827	accelerated	0.012846194843144088	0.3476385118965333
OG0006071_1 	10	8	427482	constrained	0.012880014222754536	0.34729540155145716
OG0003991_1 	10	9	2945157	constrained	0.012895028667314509	0.34644952919486355
OG0007850_1 	8	6	108827	accelerated	0.013011835624494594	0.3483347680263445
OG0008027_1 	10	3	108827	accelerated	0.013030213923399203	0.34758095640667375
OG0002049_1 	9	6	108827	accelerated	0.01312210541792247	0.34878649596606026
OG0004502_1 	10	9	2945157	accelerated	0.013146368196097491	0.34819228388883744
OG0002892_1 	10	8	1142981	constrained	0.013205737943005526	0.3485288222484392
OG0000204_2 	4	8	108827	accelerated	0.013251240580775647	0.3484982954148356
OG0002386_1 	10	9	2945157	accelerated	0.013291012879488528	0.3483178077084204
OG0000986_1 	10	8	712130	accelerated	0.013295474651815242	0.3472164341762519
OG0006346_1 	9	9	427482	accelerated	0.013413493028913592	0.34907797711831223
OG0001963_1 	10	9	2945157	accelerated	0.013450597389333185	0.34882816632267205
OG0002748_1 	5	8	108827	accelerated	0.013490663137773806	0.3486566192942303
OG0005015_1 	8	7	108827	constrained	0.013581063696842725	0.3497826370748907
OG0002559_1 	8	7	108827	constrained	0.013599441320248465	0.3490523272197106
OG0006536_1 	10	8	1142981	constrained	0.013609941661679737	0.34812552832563687
OG0009074_1 	7	4	108827	constrained	0.01361706819560064	0.3471190523991166
OG0004176_1 	10	9	2945157	constrained	0.01365152252878106	0.346813679481176
OG0003840_1 	10	8	712130	accelerated	0.013756069886901368	0.3482850372381909
OG0005481_1 	10	9	2945157	accelerated	0.013828167548795456	0.3489276466957881
OG0004228_1 	10	9	2945157	accelerated	0.013919164673558027	0.3500412153091074
OG0004784_1 	10	9	2945157	accelerated	0.013944290745320775	0.3494963341503385
OG0006915_1 	6	8	108827	constrained	0.013985114398603326	0.34934722221795395
OG0005125_1 	10	9	2945157	constrained	0.013996494594871732	0.3484660604303232
OG0005569_1 	10	9	2945157	constrained	0.014060328008675911	0.34889232523853947
OG0004092_1 	10	7	177756	constrained	0.014165485271945813	0.35033777978862013
OG0000663_1 	9	8	108827	constrained	0.014169147645826441	0.3492718276127976
OG0005680_1 	10	9	2945157	accelerated	0.014235617361164854	0.3497560068109878
OG0005799_1 	8	9	108827	constrained	0.014297528255076726	0.35012537225301005
OG0001074_2 	10	5	427482	accelerated	0.014302758088286849	0.34910882405691
OG0007604_1 	4	9	108827	accelerated	0.014372093878076142	0.34965853151580034
OG0005649_1 	9	9	267920	constrained	0.014437145416542252	0.3501007763511496
OG0007547_1 	8	7	108827	accelerated	0.014445608424767054	0.3491723279112787
OG0004837_1 	10	8	1142981	constrained	0.014530336276496341	0.3500873601585522
OG0006469_1 	9	8	267920	accelerated	0.014616521596321208	0.3510315106203315
OG0006929_1 	10	8	712130	accelerated	0.01461828169892243	0.3499485449014475
OG0005254_1 	10	9	2945157	accelerated	0.014660723332070247	0.3498432669879638
OG0000334_1 	9	8	108827	accelerated	0.01468399095804307	0.34928257473128566
OG0006623_1 	10	8	1142981	constrained	0.014784057225447686	0.35054642354561516
OG0003091_1 	10	9	2945157	accelerated	0.014799935351296423	0.34981239600896513
OG0002869_1 	8	9	108827	accelerated	0.015014794258724984	0.3537712880707158
OG0004597_1 	10	8	1142981	constrained	0.015018530378271689	0.3527465515575825
OG0006228_1 	9	7	108827	accelerated	0.015051826802911172	0.35242035859229953
OG0000432_3 	10	7	177756	constrained	0.015087758775877588	0.35215771967821785
OG0003132_1 	10	8	177756	accelerated	0.015144355183509983	0.3523775354069659
OG0002010_1 	9	9	427482	accelerated	0.01516321155042788	0.3517205809631858
OG0004438_1 	10	9	2945157	accelerated	0.015272577133644938	0.3531606148953376
OG0002754_1 	9	8	108827	accelerated	0.015345597559406787	0.3537539141086707
OG0004609_1 	10	9	2945157	accelerated	0.01536221609236621	0.35304735998117914
OG0004275_1 	10	9	2945157	constrained	0.015377061938104676	0.3523045264285393
OG0000953_1 	10	9	2945157	constrained	0.015386569042288278	0.35144429411881084
OG0004728_1 	10	9	2945157	accelerated	0.015423333564221542	0.35120999509503265
OG0005284_1 	9	9	177756	accelerated	0.015515650667206726	0.35223828216828884
OG0004934_1 	8	8	108827	constrained	0.015547469401257029	0.35189105744845073
OG0008377_1 	3	8	108827	accelerated	0.015548326625130948	0.3508472856891331
OG0005648_1 	9	8	65946	accelerated	0.01564916750068235	0.352059132718664
OG0007696_1 	7	8	65946	constrained	0.015649167500682376	0.35100189808587584
OG0000724_2 	10	7	177756	accelerated	0.015650667206732805	0.3499845310391836
OG0002706_1 	10	7	177756	constrained	0.015818903927723584	0.35269072667512674
OG0001461_1 	5	9	108827	accelerated	0.015841802510429548	0.3521500683047568
OG0004729_1 	9	9	108827	accelerated	0.015860180471578444	0.3515124271282475
OG0000232_2 	5	4	108827	accelerated	0.015917947209764027	0.35174895772108733
OG0003704_1 	10	8	267920	constrained	0.01603463720513586	0.3532823164753975
OG0006852_1 	7	8	65946	accelerated	0.016043429472598847	0.3524363962671788
OG0001701_1 	10	8	427482	accelerated	0.01611763770170438	0.3530282580470088
OG0000248_2 	6	3	65946	accelerated	0.01619605107518729	0.35370849555723355
OG0000558_2 	3	8	65946	constrained	0.016344229486324215	0.35590393595730485
OG0007860_1 	4	9	65946	constrained	0.016346707912534498	0.35492314360093075
OG0001248_2 	10	3	108827	accelerated	0.016430199220760167	0.3557019071879933
OG0004721_1 	10	9	2945157	accelerated	0.016454860672536653	0.3552062264831684
OG0003080_1 	10	9	2945157	constrained	0.01649075128532653	0.35495510475534253
OG0009904_1 	3	4	65946	accelerated	0.016575258988421715	0.3557488775417293
OG0006211_1 	9	7	65946	constrained	0.01661965850847663	0.35567974040060735
OG0006385_1 	9	9	427482	accelerated	0.016688421968644285	0.35613092481086905
OG0006240_1 	10	8	712130	constrained	0.01673271191819563	0.35605876158690364
OG0004826_1 	9	7	65946	constrained	0.016740969884450913	0.3552224547356928
OG0006531_1 	10	7	65946	constrained	0.01677078910656881	0.3548470930225565
OG0006930_1 	8	9	65946	constrained	0.016831953416431625	0.3551351979303045
OG0000456_3 	10	9	2945157	accelerated	0.016862989567926645	0.3547878002333637
